satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G02,3144.342226190027,14594056.70042642,-5112358.1167779025,22057916.542704206,22789664.36686526,42.4
G03,3144.3385212400462,23171803.284006517,-12100028.283656344,4163713.3820358217,24129009.383395333,34.6
G08,3144.348171040998,24948907.101785235,4726536.184748864,8389645.307524936,21179415.59384319,46.4
G10,3160.3426208600868,-1433051.4816562785,17211849.17288594,20289337.602029435,22804902.09574649,39.2
G21,3144.3463384869974,15719928.737415025,1662624.745960733,21894216.65509382,21731109.867515687,40.2
G27,3144.3447468500817,23132897.086760703,13297127.361700239,-2743163.9350453992,22164572.66806868,39.8
G28,3144.339115518029,5189390.048602195,25783205.206009477,-3735335.600911922,23797790.583480813,34.0
G32,3144.347120882012,7994032.976562597,17923810.53784476,18198977.587756924,21273085.93025883,43.3
G02,3145.342227761983,14594495.147139462,-5109707.647335387,22058275.11067841,22789193.108227685,45.0
G03,3145.338522857055,23171467.131587677,-12099543.997199925,4166889.265242708,24128524.62271995,37.7
G08,3145.3481703620637,24949778.546249963,4727203.441472884,8386756.985205627,21179619.140135724,49.0
G10,3161.342619564035,-1435210.4330321224,17213178.62141989,20288012.934410878,22805290.64099955,40.2
G21,3145.3463395070285,15720353.629839228,1665253.0585631393,21893800.642533194,21730804.069422863,39.9
G27,3145.344744966016,23132515.813887764,13297205.398250192,-2746290.356802147,22165137.49603483,36.6
G28,3145.339117050986,5189163.199646102,25783702.49371559,-3732205.526284102,23797331.010013446,31.7
G32,3145.347119980026,7991933.834076067,17922958.769524448,18200739.1740363,21273356.33869659,44.7
G02,3146.342229361995,14594933.76050424,-5107057.164780322,22058633.22890047,22788713.43858516,43.8
G03,3146.3385244560195,23171130.675016988,-12099059.465989567,4170065.0588194164,24128045.271612074,37.2
G08,3146.348169689998,24950649.700690202,4727870.497739821,8383868.488039859,21179820.627302565,48.4
G10,3162.3426182559924,-1437369.167884117,17214508.11368045,20286687.83931089,22805682.780997466,43.6
G21,3146.3463405660586,15720778.671060232,1667881.2844437743,21893384.186815087,21730486.57968415,44.2
G27,3146.3447430370143,23132134.197575316,13297283.286460966,-2749416.721676796,22165715.795569077,40.8
G28,3146.3391185230576,5188936.340441668,25784199.40326521,-3729075.372462833,23796889.689473834,29.6
G32,3146.347119035083,7989834.443834531,17922107.03015347,18202500.381843805,21273639.625395045,42.3
G02,3147.34223091905,14595372.54048584,-5104406.669365488,22058990.897339102,22788246.647203326,41.6
G03,3147.3385260140058,23170793.914342597,-12098574.689999163,4173240.7626246954,24127578.205457482,33.6
G08,3147.348169011064,24951520.565052643,4728537.353572721,8380979.816128009,21180024.173595097,46.8
G10,3163.342616960057,-1439527.6862238264,17215837.64964575,20285362.316723827,22806071.29135009,41.2
G21,3147.3463416179875,15721203.861041993,1670509.423420729,21892967.287970632,21730171.218872003,40.8
G27,3147.3447411700618,23131752.23776832,13297361.026390724,-2752543.0299394336,22166275.49317121,43.7
G28,3147.339120245073,5188709.4708671365,25784695.934806086,-3725945.138541714,23796373.43769925,30.8
G32,3147.347118159989,7987734.805637658,17921255.319685224,18204261.211341515,21273901.971832216,42.6
G02,3148.342232508003,14595811.48711332,-5101756.160957015,22059348.1160152,22787770.29310217,39.9
G03,3148.3385275730398,23170456.849590387,-12098089.669171816,4176416.3767235707,24127110.82519897,37.5
G08,3148.348168337019,24952391.13930621,4729204.009011796,8378090.969496796,21180226.25406934,48.3
G10,3164.342615665053,-1441685.987986628,17217167.229247056,20284036.366690766,22806459.52249923,41.7
G21,3148.3463426920353,15721629.199780433,1673137.4755103332,21892549.94599962,21729849.226977117,40.6
G27,3148.3447392709786,23131369.934488542,13297438.618082011,-2755669.2812312036,22166844.823293537,46.6
G28,3148.3391217840835,5188482.590969134,25785192.088116683,-3722814.8259425443,23795912.049409237,29.2
G32,3148.3471172230784,7985634.919798804,17920403.638281114,18206021.662261,21274182.850400623,43.6
G02,3149.3422340810066,14596250.600361848,-5099105.639746418,22059704.884905804,22787298.720360674,39.0
G03,3149.3385291830637,23170119.48078393,-12097604.403446054,4179591.9012062233,24126628.158549722,35.7
G08,3149.348167653079,24953261.42339673,4729870.464079438,8375201.948249681,21180431.301080596,40.3
G10,3165.342614365043,-1443844.073119278,17218496.852422517,20282709.989245925,22806849.2543671,37.8
G21,3149.346343719051,15722054.687229667,1675765.4404700692,21892132.16094291,21729541.33485816,39.3
G27,3149.3447373760864,23130987.28770797,13297516.061587442,-2758795.4756012703,22167412.897000186,43.5
G28,3149.3391234669834,5188255.700621713,25785687.863352753,-3719684.4337085974,23795407.524180975,29.6
G32,3149.3471163200447,7983534.786153723,17919551.985909,18207781.734734207,21274453.572942305,39.2
G02,3150.342235715012,14596689.880261444,-5096455.105594215,22060061.20403247,22786808.859790992,37.7
G03,3150.338530758978,23169781.807992168,-12097118.892826293,4182767.3357339795,24126155.717728063,28.9
G08,3150.3481670210604,24954131.4173367,4730536.718849025,8372312.7522687195,21180620.78249763,36.4
G10,3166.3426130950684,-1446001.9416568512,17219826.519164845,20281383.18436909,22807229.98192261,39.1
G21,3150.3463447929826,15722480.323413152,1678393.3184863157,21891713.932773247,21729219.377863713,39.9
G27,3150.344735449995,23130604.297426052,13297593.356954068,-2761921.612874596,22167990.324023545,38.7
G28,3150.3391249380074,5188028.799854327,25786183.26033143,-3716553.963020143,23794966.517745283,28.8
G32,3150.3471154230647,7981434.40479753,17918700.36264194,18209541.42867558,21274722.480661344,37.9
G02,3151.3422372500645,14597129.326738024,-5093804.558988905,22060417.073332384,22786348.66459146,37.1
G03,3151.338532274007,23169443.831264492,-12096633.137288598,4185942.6801534016,24125701.52983417,37.2
G08,3151.348166298005,24955001.120960463,4731202.773257673,8369423.3820277,21180837.556055207,40.2
G10,3167.3426117689814,-1448159.5933731599,17221156.22930552,20280055.952200927,22807627.531488024,41.4
G21,3151.3463458180195,15722906.108273612,1681021.10924653,21891295.261542708,21728912.07905216,39.9
G27,3151.3447335480014,23130220.963607408,13297670.504236085,-2765047.693159656,22168560.526656758,33.9
G28,3151.339126602048,5187801.8885232285,25786678.279246874,-3713423.41267625,23794467.646387566,31.2
G32,3151.3471144910436,7979333.775853273,17917848.768564284,18211300.74397628,21275001.893411465,40.7
G02,3152.342238805024,14597568.939839926,-5091153.999680141,22060772.492842074,22785882.50141747,41.1
G03,3152.338533877046,23169105.550590813,-12096147.13672382,4189117.9348688694,24125220.957211044,42.0
G08,3152.3481656120857,24955870.53433829,4731868.627422792,8366533.837216986,21181043.196373872,39.6
G10,3168.3426104700193,-1450317.0284071164,17222485.982901327,20278728.2926573,22808016.94925197,41.4
G21,3152.346346869017,15723332.04182637,1683648.8128869599,21890876.147231966,21728596.9974435,43.0
G27,3152.344731637044,23129837.28625063,13297747.50348073,-2768173.7162887054,22169133.416623503,34.7
G28,3152.3391282149823,5187574.966632734,25787172.9199716,-3710292.783507704,23793984.096321028,31.9
G32,3152.3471135450527,7977232.899313463,17916997.20370742,18213059.680636857,21275285.494213838,40.6
G02,3153.3422403790755,14598008.719563013,-5088503.42773444,22061127.46255538,22785410.614572056,38.2
G03,3153.3385354480706,23168766.96605221,-12095660.89115301,4192293.0994308377,24124749.982207682,45.2
G08,3153.34816494002,24956739.65740863,4732534.281361312,8363644.117964583,21181244.68354071,41.4
G10,3169.3426090839785,-1452474.2464722414,17223815.779746417,20277400.205916204,22808432.472541656,37.0
G21,3153.3463478600606,15723758.12401828,1686276.429121215,21890456.589889083,21728299.889559105,37.5
G27,3153.344729708042,23129453.265345115,13297824.35473711,-2771299.682168966,22169711.71615775,34.1
G28,3153.3391297460767,5187348.034137806,25787667.18248414,-3707162.0756773227,23793525.081260633,34.8
G32,3153.34711262607,7975131.775128948,17916145.66808571,18214818.238692857,21275560.998115182,43.3
G02,3154.3422419100534,14598448.665876046,-5085852.843381293,22061481.98244444,22784951.640887767,38.2
G03,3154.338537018979,23168428.077678002,-12095174.400524184,4195468.173872184,24124279.04210475,44.6
