satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G21,3174.346369520994,15732740.162552355,1741436.1105285273,21881543.560469203,21721806.095110953,33.6
G27,3174.3446894520894,23121309.440016996,13299404.134490276,-2836931.640983836,22181780.13283017,41.2
G28,3174.3391627470264,5182579.906367078,25797959.326708738,-3641399.0964330616,23783631.550220232,42.3
G32,3174.3470929469913,7930951.040462365,17898270.266281966,18251660.423957996,21281460.634666562,49.9
G02,3175.34227465,14607726.018401107,-5030187.79224113,22068822.98423573,22775136.49261293,33.0
G03,3175.338569596992,23161241.307482056,-12084901.423793353,4262123.796906212,24114512.533380914,34.2
G08,3175.348149470985,24975786.830123276,4747128.0733228875,8300026.295699496,21185882.336568292,41.7
G10,3191.3425802499987,-1499878.1201732242,17253082.17464367,20248074.238622792,22817076.65370916,40.5
G21,3175.346370564075,15733169.511183564,1744061.7921025818,21881114.258901253,21721493.386731904,35.4
G27,3175.344687524019,23120917.857341897,13299477.74265415,-2840056.3323466284,22182358.153160926,40.0
G28,3175.339164309087,5182352.727118104,25798445.267853238,-3638266.669155012,23783163.251643997,43.3
G32,3175.3470920029795,7928844.478720217,17897419.3868282,18253410.64239793,21281743.642161533,51.6
G02,3176.3422761410475,14608169.62909124,-5027536.948851074,22069167.606859088,22774689.489778016,33.5
G03,3176.338571045082,23160895.74499243,-12084409.532624401,4265296.871005915,24114078.413237415,32.2
G08,3176.3481487350073,24976649.2644218,4747789.13072318,8297132.582159097,21186102.98407421,41.9
G10,3192.34257889702,-1502030.341211617,17254412.954025485,20246736.330927946,22817482.26527517,33.4
G21,3176.34637155605,15733599.008074086,1746687.3849009913,21880684.51457668,21721195.99964403,36.3
G27,3176.3446856130613,23120525.93078335,13299551.203979846,-2843180.9650899456,22182931.043127675,41.9
G28,3176.3391658850014,5182125.536056953,25798930.83068813,-3635134.164447161,23782690.79991594,44.4
G32,3176.347091061063,7926737.670234464,17896568.53776361,18255160.48135138,21282026.02144867,49.9
G02,3177.3422777580563,14608613.406354016,-5024886.094090367,22069511.779585417,22774204.724671908,32.7
G03,3177.3385726090055,23160549.879557658,-12083917.395494003,4268469.853779771,24113609.567160618,32.1
G08,3177.3481480270857,24977511.407437447,4748449.988683495,8294238.695594026,21186315.220575176,41.7
G10,3193.3425776400836,-1504182.3447085153,17255743.77560351,20245397.996426385,22817859.08398191,37.9
G21,3177.3463726100745,15734028.653255709,1749312.8891602717,21880254.327459063,21720880.010624044,41.3
G27,3177.344683704083,23120133.66033351,13299624.51851612,-2846305.5391021115,22183503.339787014,40.0
G28,3177.3391674340237,5181898.33314153,25799416.015187457,-3632001.5825037635,23782226.410188477,42.6
G32,3177.3470901160035,7924630.61505336,17895717.719141755,18256909.94077288,21282309.34304756,51.5
G02,3178.3422793350182,14609057.350111715,-5022235.228463385,22069855.50235191,22773731.96531561,36.1
G03,3178.3385742789833,23160203.71122165,-12083425.012370119,4271642.745128343,24113108.926787093,30.9
G08,3178.3481473360443,24978373.25911954,4749110.647228793,8291344.636097423,21186522.396512996,42.1
G10,3194.3425763080595,-1506334.1302556796,17257074.63909587,20244059.23537371,22818258.413469527,30.3
G21,3178.3463736469857,15734458.446677621,1751938.304612128,21879823.69759467,21720569.151968073,43.7
G27,3178.344681737013,23119741.04600201,13299697.68630878,-2849430.054131135,22184093.051763665,37.0
G28,3178.3391690159915,5181671.118306644,25799900.82137415,-3628868.923203996,23781752.143637773,42.4
G32,3178.3470891780453,7922523.313192169,17894866.931003217,18258659.02064397,21282590.535719886,49.1
G02,3179.342280882993,14609501.460365007,-5019584.352005525,22070198.775156815,22773267.896167744,38.5
G03,3179.338575749076,23159857.24013085,-12082932.383366933,4274815.544012566,24112668.210461292,38.1
G08,3179.3481466120575,24979234.81938407,4749771.106358968,8288450.403874286,21186739.449274056,43.8
G10,3195.342574996059,-1508485.6980176084,17258405.544575002,20242720.04766923,22818651.74008225,36.6
G21,3179.346374660032,15734888.388320092,1754563.6311782124,21879392.624998655,21720265.44790138,47.1
G27,3179.344679814065,23119348.08773505,13299770.707415076,-2852554.510431965,22184669.53647526,40.1
G28,3179.339170583058,5181443.891511787,25800385.249218874,-3625736.1867643516,23781282.344342813,40.1
G32,3179.3470882360125,7920415.764711538,17894016.17340661,18260407.72090879,21282872.949907456,48.3
G02,3180.3422824590234,14609945.737135079,-5016933.464630057,22070541.598014127,22772795.416014925,40.3
G03,3180.338577285991,23159510.466233533,-12082439.508316383,4277988.25121029,24112207.46128552,33.9
G08,3180.3481459000614,24980096.08822876,4750431.366136079,8285555.998855368,21186952.90729027,43.3
G10,3196.3425736740464,-1510637.0478895754,17259736.49194682,20241380.433379717,22819048.068132423,38.5
G21,3180.346375680063,15735318.478179514,1757188.8688791944,21878961.109669976,21719959.649808552,45.8
G27,3180.344677891,23118954.78553619,13299843.581881743,-2855678.907802089,22185246.0560873,42.0
G28,3180.339172159089,5181216.652699597,25800869.298727173,-3622603.3731766823,23780809.857714318,39.8
G32,3180.3470872910693,7918307.969646247,17893165.44640007,18262156.041533064,21283156.236605916,47.8
G02,3181.3422839919804,14610390.180386126,-5014282.5665901005,22070883.970893886,22772335.849023238,39.4
G03,3181.338578808005,23159163.38959875,-12081946.387221891,4281160.866393852,24111751.179365493,30.8
G08,3181.3481451889966,24980957.065603063,4751091.426585453,8282661.421133472,21187166.08610299,37.5
G10,3197.3425723740365,-1512788.1799001563,17261067.481199823,20240040.39248887,22819437.80000029,38.5
G21,3181.3463766979985,15735748.71623514,1759814.0176307266,21878529.1516248,21719654.479923565,42.5
G27,3181.3446759710787,23118561.139390357,13299916.309759028,-2858803.2461873107,22185821.633387577,38.9
G28,3181.3391737320926,5180989.401821615,25801352.96988707,-3619470.48254519,23780338.27849715,40.9
G32,3181.3470863440307,7916199.928031492,17892314.750032105,18263903.982481882,21283440.15151221,47.5
G02,3182.342285520048,14610834.790130945,-5011631.657848857,22071225.89380362,22771877.747849837,40.3
G03,3182.338580376003,23158816.010245785,-12081453.020017134,4284333.389688044,24111281.111773454,31.6
G08,3182.348144442076,24981817.751434382,4751751.287715045,8279766.670875933,21187390.01424984,42.1
G10,3198.342571055051,-1514939.0939213494,17262398.512225274,20238699.92507823,22819833.220639136,42.9
G21,3182.3463777339784,15736179.102478797,1762439.077425077,21878096.750866678,21719343.90047108,44.6
G27,3182.3446740260115,23118167.149294965,13299988.891094787,-2861927.5254349145,22186404.74918192,35.2
G28,3182.3391753000906,5180762.138826398,25801836.262691654,-3616337.514942684,23779868.199998703,39.2
G32,3182.3470853960607,7914091.639901898,17891464.08435089,18265651.54372101,21283724.345621984,52.2
G02,3183.342287098989,14611279.566390079,-5008980.738323251,22071567.366756815,22771404.395186134,40.9
G03,3183.3385818710085,23158468.328256678,-12080959.406724056,4287505.820647042,24110832.926754456,30.7
G08,3183.3481437480077,24982678.14575801,4752410.949616224,8276871.747886743,21187598.097598985,41.4
G10,3199.342569751083,-1517089.7899859352,17263729.585014306,20237359.031128846,22820224.13912181,47.4
G21,3183.3463787450455,15736609.6368751,1765064.0480891075,21877663.90742646,21719040.78971179,44.7
G27,3183.344672085019,23117772.815224793,13300061.325941091,-2865051.745571842,22186986.64346102,35.8
G28,3183.3391768750735,5180534.863659626,25802319.177140657,-3613204.47039822,23779396.02747413,36.0
G32,3183.34708445007,7911983.105288608,17890613.449403025,18267398.725219198,21284007.946424365,50.5
G02,3184.3422886240296,14611724.509112742,-5006329.808355367,22071908.389712114,22770947.20142406,40.9
G03,3184.3385833490174,23158120.34365271,-12080465.547278319,4290678.159380139,24110389.837199036,30.8
G08,3184.348143026,24983538.24846349,4753070.412268005,8273976.652460617,21187814.557052646,41.5
G10,3200.3425684369868,-1519240.2679998707,17265060.69947929,20236017.710701045,22820618.09394237,48.2
G21,3184.3463797620498,15737040.31942044,1767688.9296432962,21877230.62130307,21718735.899030283,45.4
G27,3184.344670161023,23117378.137160942,13300133.614348948,-2868175.906574123,22187563.442276537,34.5
G28,3184.3391784010455,5180307.576282779,25802801.71320097,-3610071.3491538796,23778938.54803289,35.8
G32,3184.3470835069893,7909874.32422655,17889762.845236927,18269145.5269418,21284290.67471585,49.2
G02,3185.3422901959857,14612169.618339533,-5003678.867742641,22072248.962698374,22770475.942786485,39.9
G03,3185.3385848540347,23157772.05645919,-12079971.441621633,4293850.405958573,24109938.65074259,29.8
G08,3185.348142297007,24984398.059527803,4753729.675717164,8271081.3845977085,21188033.110532437,37.4
G10,3201.342567123007,-1521390.5279451124,17266391.855579685,20234675.963807724,22821012.013862494,50.7
G21,3185.3463807890657,15737471.150099698,1770313.7220378611,21876796.892507028,21718428.00691133,45.6
G27,3185.3446682440117,23116983.115093693,13300205.756367473,-2871300.0083461464,22188138.14706593,39.2
G28,3185.339187805075,5180080.274842169,25803283.87468728,-3606938.1264389465,23776119.28632186,28.9
G32,3185.347082553082,7907765.296782107,17888912.271913312,18270891.94882853,21284576.64874784,50.9
G02,3186.3422917370917,14612614.894031571,-5001027.916755768,22072589.085683554,22770013.932764314,43.3
G03,3186.33858648804,23157423.466681145,-12079477.089667017,4297022.560637453,24109448.79460363,31.3
G08,3186.3481416080613,24985257.578950517,4754388.740026885,8268185.944222643,21188239.658262417,40.4
G10,3202.3425658000633,-1523540.569762078,17267723.053249247,20233333.790487725,22821408.621116146,49.8
G21,3186.3463818070013,15737902.128887713,1772938.4251623163,21876362.721058898,21718122.837026346,46.6
G27,3186.3446663250215,23116587.7490129,13300277.75204599,-2874424.050795553,22188713.44516272,39.0
G28,3186.339189385064,5179852.962855302,25803765.654022656,-3603804.851517755,23775645.61307856,26.4
G32,3186.347081621061,7905656.022923154,17888061.72945357,18272637.99090025,21284856.061497957,51.8
G02,3187.3422932940302,14613060.336205434,-4998376.955335419,22072928.75867802,22769547.176282912,47.1
G08,3187.34814086603,24986116.806610577,4755047.605168526,8265290.331665961,21188462.120590977,40.0
G10,3203.3425644900417,-1525690.3934578318,17269054.292462923,20231991.19073831,22821801.354421467,52.3
G21,3187.3463828309905,15738333.255774109,1775563.0389957577,21875928.106964417,21717815.85231871,48.7
G27,3187.3446644010255,23116192.03890597,13300349.601434425,-2877548.0338485567,22189290.24397824,41.1
G32,3187.3470806720434,7903546.502768895,17887211.2179399,18274383.653052796,21285140.569711655,50.7
G02,3188.342294833041,14613505.944841817,-4995725.983635574,22073267.981664773,22769085.794468578,47.1
G03,3188.3385974389967,23156725.3769849,-12078487.643106058,4303366.617165248,24106165.793185867,26.1
G08,3188.348140142043,24986975.74252817,4755706.271221607,8262394.546782486,21188679.17335204,41.5
G10,3204.3425631669816,-1527839.9989363384,17270385.573131975,20230648.164621007,22822197.99657556,49.4
G21,3188.34638385009,15738764.530737234,1778187.563449076,21875493.05024065,21717510.33342937,48.1
G27,3188.344662453048,23115795.98476681,13300421.304581277,-2880671.9573815577,22189874.232283466,40.0
G32,3188.3470797310583,7901436.736303824,17886360.73740004,18276128.935293593,21285422.669795305,49.7
G02,3189.342296398012,14613951.719955917,-4993075.001604692,22073606.75465319,22768616.629857134,49.4
G08,3189.348139423062,24987834.38665117,4756364.738210169,8259498.589670806,21188894.725394376,43.3
G10,3205.342561853002,-1529989.3862052504,17271716.895231664,20229304.712132774,22822591.916495685,49.5
G21,3189.346384868026,15739195.953761736,1780811.9984717444,21875057.550898295,21717205.163544387,49.9
G27,3189.3446605650242,23115399.586548574,13300492.861542447,-2883795.8215923887,22190440.246864427,40.6
G28,3189.339186172001,5179170.954239772,25805208.71788568,-3594404.5920204925,23776608.8514989,31.5
G32,3189.3470787780825,7899326.723607428,17885510.287900113,18277873.83755146,21285708.364623807,50.3
G02,3190.342297943076,14614397.66152306,-4990424.009428658,22073945.07762222,22768153.433220156,49.4
G08,3190.348138728994,24988692.73895575,4757023.00617959,8256602.460334135,21189102.808743518,40.6
G10,3206.3425605470547,-1532138.5552223204,17273048.258706387,20227960.83330169,22822983.428285755,45.8
G21,3190.346385881072,15739627.524829065,1783436.3439934114,21874621.608951308,21716901.459477693,47.7
G27,3190.344658609014,23115002.844288122,13300564.272359094,-2886919.6260170825,22191026.643299703,37.1
G28,3190.3391878290568,5178943.592421386,25805688.983693175,-3591271.0106439767,23776112.074167315,37.6
G32,3190.347077835002,7897216.464670381,17884659.869470745,18279618.35982833,21285991.092915297,46.2
G02,3191.342299491982,14614843.769549532,-4987773.007109071,22074282.950574424,22767689.084868804,50.0
G03,3191.338602032978,23155675.978537586,-12077001.631444806,4312881.970398838,24104788.571321268,22.8
G08,3191.3481379930163,24989550.79934361,4757681.075118923,8253706.1590268025,21189323.45624944,40.7
G10,3207.3425592250424,-1534287.505895568,17274379.663469866,20226616.52818684,22823379.75633593,44.8
G21,3191.3463869059924,15740059.243929515,1786060.5999975144,21874185.22440471,21716594.195566572,44.8
G27,3191.344656681991,23114605.75793361,13300635.537087705,-2890043.3708942356,22191604.349526543,35.4
G28,3191.339189396007,5178716.218040978,25806168.871050544,-3588137.3531627953,23775642.30977279,38.4
G32,3191.347076883074,7895105.959569719,17883809.482176837,18281362.50205527,21286276.473639883,46.7
G02,3192.342301038094,14615290.044028,-4985121.994728198,22074620.373502064,22767225.57412791,48.7
G08,3192.3481372640235,24990408.56781579,4758338.945092932,8250809.685668081,21189542.009729225,41.1
G10,3208.342557906988,-1536436.23822824,17275711.109494545,20225271.796787996,22823774.897771295,45.9
G21,3192.346387927071,15740491.111039277,1788684.7663826877,21873748.397277698,21716288.08336983,43.3
G27,3192.344654749031,23114208.327485036,13300706.655776205,-2893167.0560504105,22192183.835675597,34.1
G28,3192.3391909489874,5178488.831029758,25806648.379988447,-3585003.6194050172,23775176.733430523,35.3
G32,3192.347075941041,7892995.208302914,17882959.12605162,18283106.264228746,21286558.887827452,47.1
G02,3193.3423025869997,14615736.484956678,-4982470.9723355975,22074957.346401554,22766761.225776557,44.4
G03,3193.338605065015,23154974.868038855,-12076009.724812355,4319225.075643776,24103879.602226067,25.2
G08,3193.3481365590123,24991266.044346035,4758996.616145175,8247913.04026955,21189753.3737193,42.6
G10,3209.3425566160586,-1538584.7522300836,17277042.596757058,20223926.6391007,22824161.907405198,45.5
G21,3193.3463889460545,15740923.126142168,1791308.8430927275,21873311.127581853,21715982.599380925,44.8
G27,3193.344652827014,23113810.552922223,13300777.6284755,-2896290.6814740123,22192760.04118371,40.0
G28,3193.339192530024,5178261.43132652,25807127.510521125,-3581869.8093055794,23774702.746083304,37.9
G32,3193.3470749780536,7890884.210972507,17882108.80117031,18284849.64625875,21286847.584093407,45.7
G02,3194.3423041420756,14616183.092332685,-4979819.939986976,22075293.869268555,22766295.027702123,43.7
G03,3194.3386066689854,23154623.859417398,-12075513.401680933,4322396.489296021,24103398.750399463,32.7
G08,3194.3481358380523,24992123.22885914,4759654.088282221,8245016.223007735,21189969.519069046,48.1
G10,3210.342555267038,-1540733.0476778382,17278374.125089716,20222581.055266317,22824566.332356397,38.3
G21,3194.346389965038,15741355.289222058,1793932.8300729892,21872873.415328633,21715677.115392018,44.4
G27,3194.344650915009,23113412.434231803,13300848.455235774,-2899414.2470977954,22193333.24525438,40.6
G28,3194.339194080094,5178034.018893059,25807606.262614433,-3578735.9231160847,23774238.042251922,34.2
G32,3194.3470740420744,7888772.967514202,17881258.50754132,18286592.64819267,21287128.183458332,47.0
