Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4438536.937786609,3085403.903508591,3376938.435059998,32.16670230776333,34.80470319700683,1586.868829361163
4434962.066404639,3084226.345458848,3374381.9002307476,32.16450443199266,34.816089993035966,-2827.822928966023
4439099.880475205,3086224.983259659,3377297.7264468498,32.16497645633888,34.80844279063837,2566.1637699110433
4435063.317915987,3084401.0151327387,3374450.8671727167,32.16415294241704,34.816997799121424,-2636.3182520614937
4436895.187962254,3085311.0287732324,3376332.4418479265,32.16880246583927,34.81382971182568,78.31220992747694
4436859.787447066,3085277.3376865154,3376307.1990735335,32.16884167107951,34.8137507232459,23.98861111048609
4435644.987578519,3083518.716014352,3375071.864960313,32.16902074899141,34.805792853402885,-2327.814175447449
4436872.856654196,3085287.3560501626,3376325.2550093103,32.16890052209003,34.81375882171952,47.5259445887059
4436880.702632093,3085288.710717229,3376330.5653993213,32.16890641746767,34.81372312258012,56.460688271559775
4436888.682226173,3085288.7166100163,3376321.4162771525,32.16880510687169,34.813674874362,57.13799793180078
4436876.87545893,3085286.167260834,3376318.114363259,32.16883343084599,34.81372414847669,45.942605536431074
4435670.7102865055,3085270.654551042,3375070.7660863865,32.1641075834355,34.82089122908508,-1463.8571551116183
4435074.72419335,3084400.542240984,3374453.1272202497,32.164126525558,34.81692460947812,-2627.4165337840095
4435675.594970454,3085277.3468664773,3375070.9552121772,32.16407142268377,34.82091991088729,-1457.1269517559558
4435660.689463703,3085258.1745860227,3375064.612783233,32.16413431917066,34.82084326329758,-1480.1293349340558
4436886.458427838,3085296.781610859,3376319.9993954273,32.16878095022978,34.81375853653312,58.735687555745244
4436884.123468203,3085286.918576907,3376322.6684364057,32.16883756394797,34.813686816956015,53.767524127848446
4436887.397127589,3085285.7066498064,3376329.445667999,32.16887971537989,34.81365645267119,59.06525662634522
4436902.02235448,3085279.468225515,3376338.97696653,32.168911921013134,34.8135136258357,71.28922503255308
4436886.9312856365,3085272.4592545275,3376316.508745205,32.16881911008109,34.81354396006804,45.45169001445174
4436904.354170852,3085268.3040246535,3376322.951287817,32.16881099950506,34.813402332688504,58.982207575812936
4436898.503224559,3085262.3941588546,3376322.4088218883,32.16884612187731,34.81338630481501,51.771111148409545
4436891.574308546,3085249.5907270983,3376310.063734278,32.16881429403733,34.813316796147845,34.195866716094315
4434495.568552567,3085022.068346963,3375338.595035285,32.17146745298629,34.82584380803705,-2258.034187248908
4434500.724957016,3085015.1672774106,3375336.7973394776,32.17145232424055,34.82575249015899,-2258.7444103993475
4436923.0424988875,3085231.39624913,3376322.0509879505,32.16883162531241,34.812967950038036,53.65481892321259
4436927.906249026,3085220.554648568,3376321.576036788,32.16883854439251,34.81284413916578,51.542889279313385
4436932.262011587,3085215.15948553,3376322.949551292,32.168846647228364,34.812770812058886,52.694104042835534
4436933.520664934,3085207.7333103754,3376317.704111467,32.16882199999364,34.81269855174265,47.18736176006496
4436937.341605447,3085196.0661594686,3376324.0626459485,32.16888745575811,34.812573866360204,47.59005443286151
4436936.713833469,3085194.29841865,3376312.739806105,32.1688083429629,34.81256227853046,40.27140355389565
4435813.18242148,3085293.041834905,3375186.7002116367,32.16436980806002,34.82022345182763,-1292.3073640372604
4436944.744618901,3085181.6446372513,3376323.6872474146,32.16889493730825,34.812403523730524,45.56594708375633
4435751.85273803,3085162.3355934755,3375072.505585669,32.16409799322726,34.819456948032666,-1458.8988466979936
4435754.623843123,3085152.3203462423,3375069.3046465586,32.1640900875269,34.81935298138367,-1463.5180109404027
4436952.714653058,3085173.4836907354,3376316.9607270914,32.168834541973716,34.812284245284324,43.58031540643424
4436951.2884846935,3085167.7285908507,3376327.783825308,32.16893855666843,34.81224278111251,45.57001264113933
4435555.976867004,3084960.295809836,3376385.1229432584,32.175446015941475,34.81888406247334,-993.7915638908744
