satPRN,GPS time,Sat.bias,Sat.X,Sat.Y,Sat.Z
G02,3096.3407960820477,-0.00045398339222796395,14573206.71411265,-5239567.640830624,22040175.96184369
G03,3096.3370914550032,0.00030864000371344757,23187580.558564216,-12122987.55877562,4011162.6919710715
G08,3096.3468488120707,0.00011965502639687304,24906736.30404856,4694270.572758321,8528081.895445965
G10,3112.341328621027,-8.485221425245323e-06,-1329165.0720265834,17148086.34156501,20352420.163985148
G21,3096.3449335930636,0.00012735622785470406,15699708.620245436,1536361.2559223245,21913664.42634119
G27,3096.343483341043,-1.8404386408882412e-05,23150795.05425613,13293206.07379138,-2593025.988618102
G28,3096.3376847150503,-0.00020190726046570592,5200268.047928143,25758890.151180234,-3885488.7660888904
G32,3096.3458099510754,-0.0006180522142790545,8094502.459394407,17964729.605067823,18113974.760810208
